Archive_Region,Count
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Abruzzo,7
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Basilicata,3
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Calabria,9
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Campania,5
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Emilia-Romagna,11
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Friuli-Venezia_Giulia,4
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lazio,7
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Liguria,6
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lombardia,9
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Marche,12
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Molise,2
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Piemonte,11
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Puglia,7
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Sardegna,4
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Sicilia,13
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Toscana,12
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Trentino-Alto_Adige,2
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Umbria,6
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Veneto,10
TOTAL,140
