PROSPETTO 7. OPERE PUBBLICATE E COPIE STAMPATE PER GENERE E CLASSE DI PREZZO,,,,,,,,
Anno 2010,,,,,,,,
,,,,,,,,
CLASSI DI PREZZO,Totale,,,Di cui scolastiche,,,Di cui per ragazzi,
,Opere,Copie stampate,,Opere,Copie,,Opere,Copie
,pubblicate,(in migliaia),,pubblicate,stampate,,pubblicate,stampate
,,,,,(in migliaia),,,(in migliaia)
,,,,,,,,
"Fino a 10,00 euro","16,706","85,304",,949,"6,821",,"3,059","22,691"
"Da 10,01 a 15,00","16,558","40,395",,685,"3,300",,"1,321","6,161"
"Da 15,01 a 20,00","11,583","37,487",,808,"5,034",,504,"3,215"
"Da 20,01 a 30,00","9,236","19,651",,"1,215","7,202",,117,663
"Da 30,01 a 50,00","5,275","10,229",,510,"4,074",,11,62
"Oltre 50,00 ","2,866","12,410",,299,"8,593",,9,172
Opere gratuite o fuori commercio,"1,576","7,811",,220,"1,728",,36,61
Totale,"63,800","213,289",,"4,686","36,752",,"5,057","33,024"
