Tavola 2 - Opere pubblicate per regione_2010,,,,,,,,
,,,,,,,,
,,,,,,,,
REGIONE DI PUBBLICAZIONE,2010,,,,,,N. medio di opere per editore,"N. medio di copie per editore 
(in migliaia)"
,Opere pubblicate,Copie stampate,,Opere pubblicate,Copie stampate,,,
,N.,(in migliaia),,%,%,,,
,,,,,,,,
Piemonte,"7,185","30,578",,11.3,14.3,,52,220
Valle d'Aosta/Vallée d'Aoste,54,35,,0.1,0,,8,5
Lombardia,"24,314","106,127",,38.1,49.8,,73,321
Liguria,523,591,,0.8,0.3,,11,13
Bolzano/Bozen,257,865,,0.4,0.4,,15,51
Trento,774,838,,1.2,0.4,,29,31
Trentino-Alto Adige/Südtirol,"1,031","1,703",,1.6,0.8,,23,39
Veneto,"2,284","6,600",,3.6,3.1,,20,56
Friuli-Venezia Giulia,"1,089","3,210",,1.7,1.5,,25,75
Emilia-Romagna,"6,851","18,649",,10.7,8.7,,46,125
Toscana,"4,719","19,693",,7.4,9.2,,32,133
Umbria,809,"1,557",,1.3,0.7,,22,42
Marche,499,"4,193",,0.8,2,,17,140
Lazio,"9,670","12,338",,15.2,5.8,,36,46
Abruzzo,530,776,,0.8,0.4,,20,29
Molise,51,27,,0.1,0,,9,5
Campania,"1,557","2,178",,2.4,1,,16,22
Puglia,977,870,,1.5,0.4,,21,19
Basilicata,64,37,,0.1,0,,8,5
Calabria,326,195,,0.5,0.1,,19,11
Sicilia,997,"3,497",,1.6,1.6,,16,57
Sardegna,270,437,,0.4,0.2,,10,17
,,,,,,,,
ITALIA,"63,800","213,289",,100,100,,39,129
Nord-ovest,"32,076","137,331",,50.3,64.4,,61,263
Nord-est,"11,255","30,162",,17.6,14.1,,32,85
Centro,"15,697","37,781",,24.6,17.7,,33,79
Sud,"3,505","4,083",,5.5,1.9,,17,20
Isole,"1,267","3,934",,2,1.8,,15,45
